source,author,title,description,publishedAT,content
yahoo entertainment,gurufocus research,unveiling dexcom (dxcm)'s value: is it really priced right? a comprehensive guide,a deep dive into dexcom's valuation and financial performance,2023-09-19T16:32:48Z,"with a day's loss of -251% and a 3-month loss of -2828%, dexcom inc (nasdaq:dxcm) has been under the spotlight recently the company's earnings per share (eps) stands at 086 the question is, is t… [+3498 chars]"
yahoo entertainment,jameelah robinson,no end in sight for ozempic-fueled drop in medical-device stocks,(bloomberg) -- medical-device stocks hard hit by the rising popularity of a new class of weight loss drugs are poised to extend a precipitous drop into year ,2023-10-11T18:18:40Z,(bloomberg) -- medical-device stocks hard hit by the rising popularity of a new class of weight loss drugs are poised to extend a precipitous drop into year end most read from bloomberg thats acco… [+2521 chars]
yahoo entertainment,"lisa pham, madison muller and naomi kresge",a stock investors guide to navigating weight loss opportunities,"(bloomberg) -- for investors, there's a whole lot more to the boom in demand for weight-loss drugs than the rising stock prices of novo nordisk a/s and eli",2023-09-16T07:30:36Z,"(bloomberg) -- for investors, there's a whole lot more to the boom in demand for weight-loss drugs than the rising stock prices of novo nordisk a/s and eli lilly &amp; co most read from bloomberg … [+9151 chars]"
marketscreenercom,business wire,dexcom unlocks access to real-time cgm for a further half a million people with diabetes in france,"(marketscreenercom) dexcom, inc , a global leader in real-time continuous glucose monitoring for people with diabetes, today announced the availability of its dexcom one real-time cgm sensor via reimbursement, in france dexcoms announcement brings the …",2023-09-12T08:01:02Z,"dexcom, inc (nasdaq: dxcm), a global leader in real-time continuous glucose monitoring for people with diabetes, today announced the availability of its dexcom one real-time cgm sensor via reimburse… [+2076 chars]"
marketscreenercom,business wire,dexcom solidifies global leadership in continuous glucose monitoring with new clinical data presented at easd,"(marketscreenercom) comisair study is now the longest prospective real-world cgm study ever conducted, demonstrating significant and continued hba1c reduction for patients using real-time cgm over seven years1 new data shows the dexcom one cgm system d…",2023-10-02T06:01:02Z,"comisair study is now the longest prospective real-world cgm study ever conducted, demonstrating significant and continued hba1c reduction for patients using real-time cgm over seven years1 new dat… [+9204 chars]"
marketscreenercom,business wire,"dexcom schedules third quarter 2023 earnings release and conference call for october 26, 2023 at 4:30 pm eastern time","(marketscreenercom) dexcom, inc today announced that it plans to release its third quarter 2023 financial results after market close on thursday, october 26, 2023 management will hold a conference call to review the company's third quarter 2023 performanc…",2023-09-29T12:32:01Z,"dexcom, inc (nasdaq:dxcm) today announced that it plans to release its third quarter 2023 financial results after market close on thursday, october 26, 2023 management will hold a conference call t… [+1125 chars]"
yahoo entertainment,fahad saleem,13 tech stocks with biggest upside,"in this article, we will take a look at the 13 tech stocks with biggest upside to see more such companies, go directly to 5 tech stocks with biggest upside",2023-09-16T20:45:12Z,"in this article, we will take a look at the 13 tech stocks with biggest upside to see more such companies, go directly to 5 tech stocks with biggest upside technology stocks are really keeping the… [+17015 chars]"
marketscreenercom,business wire,"dexcom u kicks off 2023 season with expanded roster of athletes with diabetes, building on first-of-its-kind nil program","(marketscreenercom) in its second season, the 2023 dexcom u roster consists of 20 athletes with diabetes across 10 sports, 20 colleges, and includes 11 new team members expanded program gives these collegiate athletes a platform to share their stories, …",2023-09-19T10:03:02Z,"in its second season, the 2023 dexcom u roster consists of 20 athletes with diabetes across 10 sports, 20 colleges, and includes 11 new team members expanded program gives these collegiate athletes … [+6067 chars]"
marketscreenercom,publicnow,terumo : to cease distributing dexcom continuous glucose monitoring systems as dexcom moves to a direct distribution model in japan,"(marketscreenercom) october 02, 2023 tokyo, japan - october 02, 2023 - terumo corporation today announced that it has agreed with us-based dexcom, inc to cease the distribution agreement for dexcom's continuous glucose monitoring systems in japan,…",2023-10-02T04:04:02Z,"tokyo, japan - october 02, 2023 - terumo corporation (tse: 4543) today announced that it has agreed with us-based dexcom, inc (dexcom) to cease the distribution agreement for dexcom's continuous gl… [+1371 chars]"
biztoccom,marketwatchcom,best buy is the latest retailer to enter the healthcare space,"best buy co inc has become the latest retailer to enter the healthcare space with the news monday that it will soon start offering a continuous glucose monitoring system as its first prescription-based medical device the electronics retailer bby, said elig…",2023-10-09T17:22:18Z,best buy co inc has become the latest retailer to enter the healthcare space with the news monday that it will soon start offering a continuous glucose monitoring system as its first prescription-b… [+293 chars]
biztoccom,marketwatchcom,best buy to offer a continuous glucose-monitoring system as its first prescription-based medical device,"best buy co inc has become the latest retailer to enter the healthcare space with the news monday that it will soon start offering a continuous glucose monitoring system as its first prescription-based medical device the electronics retailer bby, said elig…",2023-10-09T13:08:05Z,best buy co inc has become the latest retailer to enter the healthcare space with the news monday that it will soon start offering a continuous glucose monitoring system as its first prescription-b… [+293 chars]
marketscreenercom,business wire,best buy to sell continuous glucose monitoring systems,(marketscreenercom) this marks the first time best buy will offer prescription based medical devices https://wwwmarketscreenercom/quote/stock/best-buy-co-inc-11778/news/best-buy-to-sell-continuous-glucose-monitoring-systems-45018346/?utm_medium=rss&utm_c…,2023-10-09T10:01:02Z,this marks the first time best buy will offer prescription based medical devices best buy will soon offer a convenient way for eligible customers to get prescription continuous glucose monitoring sy… [+4010 chars]
plosorg,"laura c kusinski, joanne brown, deborah j hughes, claire l meek",feasibility and acceptability of continuous glucose monitoring in pregnancy for the diagnosis of gestational diabetes: a single-centre prospective mixed methods study,"background undiagnosed diabetes in pregnancy is associated with stillbirth and perinatal complications, but standard testing for gestational diabetes using the oral glucose tolerance test (ogtt) is impractical and exacerbates healthcare inequalities there is…",2023-09-27T14:00:00Z,"abstract background undiagnosed diabetes in pregnancy is associated with stillbirth and perinatal complications, but standard testing for gestational diabetes using the oral glucose tolerance test … [+37199 chars]"
globenewswire,transparency market research,continuous glucose monitoring market size & share surpass usd 2 billion by 2028 – exclusive report by transparency market research,the growing diabetic population and technological advancements will open up new market opportunities for continuous glucose monitoring the growing diabetic population and technological advancements will open up new market opportunities for continuous glucose…,2023-10-09T11:10:00Z,"wilmington, delaware, united states, oct 09, 2023 (globe newswire) -- transparency market research inc - the continuous glucose monitoring market is projected to reach us$ 2 billion by 2028 cont… [+7098 chars]"
investingcom,NA,us stocks higher at close of trade; dow jones industrial average up 096%,us stocks higher at close of trade; dow jones industrial average up 096%,2023-09-14T20:25:13Z,"investingcom us stocks were higher after the close on thursday, as gains in the telecoms, basic materials and utilities sectors led shares higher at the close in nyse, the dow jones industrial a… [+2693 chars]"
investingcom,NA,us stocks lower at close of trade; dow jones industrial average down 083%,us stocks lower at close of trade; dow jones industrial average down 083%,2023-09-15T20:25:13Z,"investingcom us stocks were lower after the close on friday, as losses in the technology, consumer services and oil &amp; gas sectors led shares lower at the close in nyse, the dow jones industr… [+2518 chars]"
prnewswire,,"mhealth market size is predicted to surpass usd 11523 billion by 2028, with at a cagr of 115% over the forecast period | brandessence market research","london, oct 4, 2023 /prnewswire/ -- according to a comprehensive research report by brandessence market research (bmrc), ""mhealth market size, share & trends analysis report by component (apps (medical app, fitness app), wearables), by application, by threat…",2023-10-04T15:30:00Z,"london, oct 4, 2023 /prnewswire/ -- according to a comprehensive research report by brandessence market research (bmrc), ""mhealth market size, share &amp; trends analysis report by component (apps (… [+10796 chars]"
globenewswire,marketsandmarkets research pvt ltd,wearable healthcare devices market is expected to reach $301 billion | marketsandmarkets,"chicago, oct 11, 2023 (globe newswire) -- the wearable healthcare devices industry is poised for remarkable growth in the near future as technological advancements continue to reshape the healthcare landscape, these innovative gadgets are set to play an inc…",2023-10-11T12:30:00Z,"chicago, oct 11, 2023 (globe newswire) -- the wearable healthcare devices industry is poised for remarkable growth in the near future as technological advancements continue to reshape the healthcar… [+13439 chars]"
globenewswire,research and markets,global glucose biosensors market 2023-2030: challenges in commercialization and reluctance impact the glucose biosensors market - what lies ahead?,"dublin, sept 26, 2023 (globe newswire) -- the ""global glucose biosensors market by type (electrochemical biosensor, optical biosensor), end use (diagnostic centres, homecare, hospitals) - cumulative impact of covid-19, russia ukraine conflict, and high infla…",2023-09-26T09:18:00Z,"dublin, sept 26, 2023 (globe newswire) -- the ""global glucose biosensors market by type (electrochemical biosensor, optical biosensor), end use (diagnostic centres, homecare, hospitals) - cumulative… [+6075 chars]"
marketscreenercom,,"analyst recommendations: amgen, best buy, comcast, fedex, mosaic","(marketscreenercom) every morning, find a selection of analysts' recommendations covering north america and the uk the list only includes companies that have been the subject of a change of opinion or price target, or of a new coverage it may be updated du…",2023-10-02T09:58:23Z,"every morning, find a selection of analysts' recommendations covering north america and the uk the list only includes companies that have been the subject of a change of opinion or price target, or … [+5864 chars]"
globenewswire,research and markets,global diabetes epidemic: unprecedented economic burden of $966 billion in 2021 underscores urgency for innovative therapeutics and diagnostics,"dublin, sept 18, 2023 (globe newswire) -- the ""global markets for diabetes therapeutics and diagnostics"" report has been added to researchandmarketscom's offering",2023-09-18T11:38:00Z,"dublin, sept 18, 2023 (globe newswire) -- the ""global markets for diabetes therapeutics and diagnostics"" report has been added to researchandmarketscom's offering the latest market analysis prese… [+7219 chars]"
globenewswire,research and markets,"global laboratory equipment and consumables market set to reach $1399 billion by 2028, driven by digital transformation and expansion strategies","dublin, oct 10, 2023 (globe newswire) -- the ""global laboratory equipment and consumables market - outlook & forecast 2023-2028"" report has been added to researchandmarketscom's offering",2023-10-10T07:43:00Z,"dublin, oct 10, 2023 (globe newswire) -- the ""global laboratory equipment and consumables market - outlook &amp; forecast 2023-2028"" report has been added to researchandmarketscom's offering the … [+7353 chars]"
marketscreenercom,,out with the old,"(marketscreenercom) the small rebound seen at the end of last week eased the losses accumulated on the stock markets in august and september this morning, the mood is one of relief following a budget compromise in the united states the last quarter of the …",2023-10-02T13:53:59Z,"the small rebound seen at the end of last week eased the losses accumulated on the stock markets in august and september this morning, the mood is one of relief following a budget compromise in the … [+10949 chars]"
globenewswire,marketresearchbiz,insulin pumps market to reach usd 120 billion in 2032 owing to rising prevalence of diabetes and advancements in insulin pumps,"marketresearchbiz reports that the global insulin pumps market is rapidly growing in revenue, driven by rising diabetes prevalence, technological advancements in insulin pump devices, and increasing awareness of the convenience of continuous insulin delivery…",2023-09-18T11:34:00Z,"new york, sept 18, 2023 (globe newswire) -- global insulin pumps market size was usd 53 billion in 2022 and is expected to reach usd 120 billion in 2032 and register a revenue cagr of 87% between… [+18755 chars]"
financial post,bloomberg news,a stock investors guide to navigating weight-loss opportunities,here are some of the stocks and sectors that are likely to see the biggest impact from the boom in demand for weight-loss drugs read on,2023-09-20T15:12:56Z,here are some of the stocks and sectors that are likely to see the biggest impact author of the article: the anti-diabetic medication ozempic made by danish pharmaceutical company novo nordisk a/s… [+12810 chars]
marketwatch,NA,company close updates: dexcom inc stock underperforms friday when compared to competitors,"shares of dexcom inc shed 512% to $9635 friday, on what proved to be an all-around grim trading session for the stock market, with the s&p 500 index",2023-09-15T20:55:23Z,"shares of dexcom inc dxcm, -512% shed 512% to $9635 friday, on what proved to be an all-around grim trading session for the stock market, with the s&amp;p 500 index spx, -122% fallin… [+701 chars]"
prnewswire,,"sensor patch market to reach $5637 billion, globally, by 2032 at 432% cagr: allied market research","the global sensor patch market is driven by factors such as usage of sensor patches in sports industry and the surge in per capita income in healthcare industry portland, ore, oct 4, 2023 /prnewswire/ -- allied market research published a report, titled, ""…",2023-10-04T08:23:00Z,"the global sensor patch market is driven by factors such as usage of sensor patches in sports industry and the surge in per capita income in healthcare industry portland, ore, oct 4, 2023 /prnews… [+11390 chars]"
marketwatch,eleanor laise,"the ratings game: these diabetes stocks, pummeled by the ozempic craze, now look like bargains, analysts say","dexcom could be the first stock to break out of ‘glp jail, analysts say, as market continues to punish device makers",2023-10-05T13:38:09Z,"diabetes device stocks that have been crushed in recent months by an ozempic-fueled weight-loss drug frenzy have now been punished enough, some analysts say the markets enthusiasm for novo nordisks … [+4144 chars]"
marketwatch,ciara linnane,": best buy to start offering a continuous glucose monitoring system for diabetics, its first prescription-based medical device","best buy co inc bby said monday it will soon start offering a continuous glucose monitoring system, its first prescription-based medical device the electronics retailer said eligible customers will be able to get the dexcom g7 cgm via bestbuycom where the…",2023-10-09T10:25:18Z,"best buy co inc bby, +167% said monday it will soon start offering a continuous glucose monitoring system, its first prescription-based medical device the electronics retailer said eligible… [+780 chars]"
prnewswire,,"revolutionary trends in diabetes monitoring devices set to propel market growth with 64% cagr, lancets and devices subsegment surges at 103% cagr","dublin, sept 14, 2023 /prnewswire/ -- the ""global markets for diabetes therapeutics and diagnostics"" report has been added to researchandmarketscom's offering the latest market analysis presents an optimistic outlook for the global diabetes therapeutics an…",2023-09-14T15:45:00Z,"dublin, sept 14, 2023 /prnewswire/ -- the ""global markets for diabetes therapeutics and diagnostics"" report has been added to researchandmarketscom's offering the latest market analysis presents… [+7611 chars]"
marketwatch,joseph adinolfi,wall street analysts expect the s&p 500 to rise 19% over the next 12 months here are their 10 favorite stocks,"outside of a handful of highflying technology stocks, us stocks have been practically flat in 2023, but on wall street, some analysts remain as bullish as ever",2023-09-26T12:38:00Z,"outside of a handful of highflying technology stocks, us stocks have been practically flat in 2023, but on wall street, some analysts remain as bullish as ever an analysis of their projections for… [+3392 chars]"
marketwatch,joseph adinolfi,the tell: wall street analysts expect the s&p 500 to rise 19% over the next 12 months here are their 10 favorite stocks,"outside of a handful of highflying technology stocks, us stocks have been practically flat in 2023, but on wall street, some analysts remain as bullish as ever",2023-09-26T12:40:17Z,"outside of a handful of highflying technology stocks, us stocks have been practically flat in 2023, but on wall street, some analysts remain as bullish as ever an analysis of their projections for… [+3392 chars]"
globenewswire,straits research,"iot medical devices market size is projected to reach usd 112 billion by 2031, growing at a cagr of 276%: straits research","the global iot medical devices market size was valued at usd 125 billion in 2022 it is projected to reach usd 112 billion by 2031, growing at a cagr of 276% during the forecast period (2023-2031) this wearable technology aids in the analysis of sudden car…",2023-09-14T14:15:00Z,"new york, united states, sept 14, 2023 (globe newswire) -- iot medical devices manage mechanical ventilation systems and artificial airways, disperse aerosol-based medications, and identify and tr… [+60181 chars]"
