source,author,title,description,publishedAT,content
globenewswire,emergen research,global anti-inflammatory drugs market size to reach usd 25008 billion in 2030 | emergen research,potential pipeline candidates is a key factor driving anti-inflammatory drugs market revenue growth potential pipeline candidates is a key factor driving anti-inflammatory drugs market revenue growth,2023-09-14T15:30:00Z,"vancouver, sept 14, 2023 (globe newswire) -- the global anti-inflammatory drugs market size reached usd 11142 billion in 2021 and is expected to register a revenue cagr of 93% during the forecas… [+13252 chars]"
plosorg,"liqun wang, shufeng xie, xue hu, jiangping li, shulan he, junling gao, zhizhong wang","social capital, depressive symptomatology, and frailty among older adults in the western areas of china","we aimed to explore the relationship between social capital (sc) and frailty, and the mediation role of depressive symptoms in this relationship a cross-sectional study among 2,591 older adults aged ≥60 years old was conducted from september 2020 to may 2021…",2023-10-03T14:00:00Z,"abstract we aimed to explore the relationship between social capital (sc) and frailty, and the mediation role of depressive symptoms in this relationship a cross-sectional study among 2,591 older a… [+29998 chars]"
plosorg,"laura c kusinski, joanne brown, deborah j hughes, claire l meek",feasibility and acceptability of continuous glucose monitoring in pregnancy for the diagnosis of gestational diabetes: a single-centre prospective mixed methods study,"background undiagnosed diabetes in pregnancy is associated with stillbirth and perinatal complications, but standard testing for gestational diabetes using the oral glucose tolerance test (ogtt) is impractical and exacerbates healthcare inequalities there is…",2023-09-27T14:00:00Z,"abstract background undiagnosed diabetes in pregnancy is associated with stillbirth and perinatal complications, but standard testing for gestational diabetes using the oral glucose tolerance test … [+37199 chars]"
thefreedictionarycom,,stem cells,"stem cells are unspecialized cells that can reproduce themselves for long periods of time using cell division, but are also capable of differentiating into almost any type of specialized cell this unique ability makes them ideal for use in regenerative medic…",2023-10-03T04:20:02Z,"this article is about the cell type for the medical therapy, see stem cell therapy stem cells are undifferentiatedbiological cells that can differentiate into specialized cells and can divide (thr… [+42572 chars]"
sapcom,alexander haas,navigating the complex landscape of the life sciences supply chain: a comprehensive white paper,"authors: alexander haas, lucas brach, marius eschenbacher (sap – business transformation services) this research paper provides a comprehensive exploration of the complex life sciences supply chain 1 introduction like the intricate pathways of life that […]",2023-09-29T20:50:34Z,"authors: alexander haas, lucas brach, marius eschenbacher (sap – business transformation services) this research paper provides a comprehensive exploration of the complex life sciences supply chain… [+63027 chars]"
plosorg,"d herbert opi, carolyne m ndila, sophie uyoga, alex w macharia, clare fennell, lucy b ochola, gideon nyutu, bethseba r siddondo, john ojal, mohammed shebe, kennedy o awuondo, neema mturi, norbert peshu, benjamin tsofa, gavin band, kathryn maitland, dominic p kwiatkowski, kirk a rockett, thomas n williams, j alexandra rowe",non-o abo blood group genotypes differ in their associations with plasmodium falciparum rosetting and severe malaria,"author summary the most common human blood group, abo, affects susceptibility to multiple diseases including malaria, whereby the non-o blood groups a, b and ab are associated with an increased risk of severe malaria in comparison to blood group o this may o…",2023-09-14T14:00:00Z,abstract blood group o is associated with protection against severe malaria and reduced size and stability of p falciparum-host red blood cell (rbc) rosettes compared to non-o blood groups whether… [+70699 chars]
plosorg,"marcela dantas dias da silva, thais soares bezerra santos nunes, hamile emanuella do carmo viotto, sabrina romão gonçalves coelho, raphael freitas de souza, ana carolina pero",microbial adhesion and biofilm formation by candida albicans on 3d-printed denture base resins,"this study evaluated surface properties and adhesion/biofilm formation by candida albicans on 3d printed denture base resins used in 3d printing disc-shaped specimens (15 mm x 3 mm) of two 3d-printed resins (nextdent denture 3d+, ne, n = 64; and cosmos dentu…",2023-10-04T14:00:00Z,"citation: silva mddd, nunes tsbs, viotto hedc, coelho srg, souza rfd, pero ac (2023) microbial adhesion and biofilm formation by candida albicans on 3d-printed denture base resins plos one 18(10): … [+34375 chars]"
cdcgov,,"factors influencing the referral of patients with prediabetes to a diabetes prevention program in the bronx, new york","preventing chronic disease (pcd) is a peer-reviewed electronic journal established by the national center for chronic disease prevention and health promotion pcd provides an open exchange of information and knowledge among researchers, practitioners, policy …",2023-09-21T16:08:30Z,"cara stephenson-hunter, phd1,2; giovanni pacheco, ba2; ryung s kim, phd2; qi gao, phd2; h dean hosgood, phd2; earle c chambers, phd, mph2,3 (view author affiliations) suggested citation for this … [+49290 chars]"
plosorg,"sangmi s park, michelle mai, magdalena ploszaj, huchong cai, lucas mcgarvey, christian mueller, itsaso garcia-arcos, patrick geraghty",type 1 diabetes contributes to combined pulmonary fibrosis and emphysema in male alpha 1 antitrypsin deficient mice,"type 1 diabetes (t1d) is a metabolic disease characterized by hyperglycemia and can affect multiple organs, leading to life-threatening complications increased prevalence of pulmonary disease is observed in t1d patients, and diabetes is a leading cause of co…",2023-10-11T14:00:00Z,"abstract type 1 diabetes (t1d) is a metabolic disease characterized by hyperglycemia and can affect multiple organs, leading to life-threatening complications increased prevalence of pulmonary dise… [+53696 chars]"
plosorg,"ahmad rizki sridadi, anis eliyana, fika arista priyandini, andika setia pratama, shochrul rohmatul ajija, nurul liyana mohd kamil",examining antecedents of organizational citizenship behavior: an empirical study in indonesian police context,"police reform in the mobile brigade corps unit in indonesia, which seeks to break away from militaristic elements, has not been fully implemented optimally this is reflected in the lack of implementation of human values in serving the community the extra ef…",2023-10-05T14:00:00Z,"abstract police reform in the mobile brigade corps unit in indonesia, which seeks to break away from militaristic elements, has not been fully implemented optimally this is reflected in the lack of… [+54634 chars]"
